,city,category,amount
40128,Cheswick, Event Planning & Services,2
40129,Cave Creek, Tires,2
40130,Thornhill, Outdoor Gear,2
40131,Brossard, Car Dealers,2
40132,Willoughby, Antiques,2
40133,Midland, Arts & Entertainment,2
40134,Columbia Station, Landscape Architects,2
40135,Richmond Hill,Steakhouses,2
40136,Queen Creek, Auto Repair,2
40137,Medina,Donuts,2
40138,North Las Vegas, Libraries,2
40139,Paradise Valley, Wedding Planning,2
40140,Madison, Health Insurance Offices,2
40141,Etobicoke,Bridal,2
40142,Bainbridge, Fast Food,2
40143,Willoughby, Laundry Services,2
40144,Strongsville,Books,2
40145,Matthews, Motorcycle Gear,2
40146,Homestead, Venues & Event Spaces,2
40147,Monticello, Auto Repair,2
40148,Monroeville, Pet Stores,2
40149,Streetsboro, Auto Parts & Supplies,2
40150,Cornelius, Property Management,2
40151,Newbury, Food,2
40152,Savoy, Hotels,2
40153,Surprise,Performing Arts,2
40154,Boulder City,Cosmetic Dentists,2
40155,Broadview Heights,Cafes,2
40156,Goodyear, Home Energy Auditors,2
40157,Cheswick, Pizza,2
40158,Mount Horeb, Italian,2
40159,Madison,Body Shops,2
40160,Parma, Falafel,2
40161,Surprise, Estate Liquidation,2
40162,Woodbridge,Event Planning & Services,2
40163,North Olmsted, Tex-Mex,2
40164,Henderson, Radio Stations,2
40165,Bay Village, Home Services,2
40166,McMurray, Grocery,2
40167,Independence,Mobile Phones,2
40168,North Las Vegas, Fire Protection Services,2
40169,Denver, Pet Training,2
40170,Indian Land, Electronics,2
40171,Chagrin Falls,Pizza,2
40172,Middleton, Trainers,2
40173,Lasalle, Meat Shops,2
40174,Cave Creek, Dog Walkers,2
40175,Wexford,Education,2
40176,Macedonia, Hardware Stores,2
40177,Cleveland, Swimming Lessons/Schools,2
40178,Longueuil,Pubs,2
40179,Gilbert,Bubble Tea,2
40180,Whitby, Gluten-Free,2
40181,Fort Mill, Tanning,2
40182,las vegas, Automotive,2
40183,Toronto, Motorcycle Parts & Supplies,2
40184,Orange, Hair Salons,2
40185,Tempe,Dermatologists,2
40186,Montréal,Pool Halls,2
40187,Mooresville, General Dentistry,2
40188,Monroe, Hotels,2
40189,Broadview Heights,Arts & Entertainment,2
40190,Peoria, Southern,2
40191,Chandler, Funeral Services & Cemeteries,2
40192,Denver, Diners,2
40193,Indian Trail, Nurseries & Gardening,2
40194,Concord, Ramen,2
40195,North Ridgeville, Building Supplies,2
40196,Streetsboro, Specialty Food,2
40197,Ajax,Active Life,2
40198,King,Restaurants,2
40199,Vaudreuil-Dorion, Cambodian,2
40200,Medina, Glass & Mirrors,2
40201,Akron, Music & Video,2
40202,Scottsdale,Creperies,2
40203,South Euclid,Beauty & Spas,2
40204,Scottsdale,Endodontists,2
40205,Montréal, Laotian,2
40206,Etobicoke, Vietnamese,2
40207,Carefree,Financial Services,2
40208,Scottsdale,Carpenters,2
40209,Wexford, Steakhouses,2
40210,Montréal, Hydrotherapy,2
40211,Goodyear, Reflexology,2
40212,Chesterland,Home & Garden,2
40213,Peoria,Self Storage,2
40214,Bay Village, Cocktail Bars,2
40215,Chandler, Diving,2
40216,Cleveland Heights, Body Shops,2
40217,Mckeesport, Nightlife,2
40218,Lake Wylie,Convenience Stores,2
40219,Streetsboro, Flowers & Gifts,2
40220,Sewickley, Veterinarians,2
40221,Laveen,Ice Cream & Frozen Yogurt,2
40222,Laveen, Couriers & Delivery Services,2
40223,Bridgeville, Trainers,2
40224,Laveen,Financial Services,2
40225,Charlotte, Wine Tasting Room,2
40226,Hudson, Tires,2
40227,Indian Trail, Auto Customization,2
40228,Cleveland, Cooking Schools,2
40229,Goodyear,Accessories,2
40230,Cottage Grove, Specialty Food,2
40231,Kent, Cajun/Creole,2
40232,Tallmadge,Beauty & Spas,2
40233,North Olmsted,Massage,2
40234,Gilbert,Hot Dogs,2
40235,Huntersville,Sushi Bars,2
40236,Rocky River, Tanning,2
40237,Sainte-Thérèse, Breakfast & Brunch,2
40238,Phoenix, Moroccan,2
40239,Avalon, Burgers,2
40240,Bethel Park, Soup,2
40241,Charlotte, Assisted Living Facilities,2
40242,Unionville,American (New),2
40243,Toronto, Tasting Classes,2
40244,Lyndhurst, Wine Bars,2
40245,Queen Creek, American (New),2
40246,Gilbert, Tennis,2
40247,Huntersville,Latin American,2
40248,Litchfield Park, Bakeries,2
40249,Glendale,Home Theatre Installation,2
40250,Fairview Park, Threading Services,2
40251,Verona, Financial Services,2
40252,Monroeville, Day Spas,2
40253,Lakewood, Spiritual Shop,2
40254,Middleton, Kitchen & Bath,2
40255,Longueuil, Middle Eastern,2
40256,Rock Hill,Auto Parts & Supplies,2
40257,Pierrefonds, Halal,2
40258,Ajax,Professional Services,2
40259,Maple, Medical Centers,2
40260,Saint-Eustache, Venues & Event Spaces,2
40261,North Olmsted,Accessories,2
40262,Tempe, Debt Relief Services,2
40263,Avondale, Tiling,2
40264,Henderson,Estate Planning Law,2
40265,Carnegie,Cafes,2
40266,Coraopolis, Pubs,2
40267,Charlotte, Hostels,2
40268,Pittsburgh,Furniture Repair,2
40269,Saint-Hippolyte, Hotels,2
40270,Monroe,Nightlife,2
40271,Dormont, Nightlife,2
40272,Urbana, Couriers & Delivery Services,2
40273,Cross Plains, American (New),2
40274,Sun City, Caterers,2
40275,Surprise,Couriers & Delivery Services,2
40276,Cleveland Heights,Contractors,2
40277,Greenfield Park, Pizza,2
40278,Finleyville,American (Traditional),2
40279,Gilbert, Retina Specialists,2
40280,Maple Heights, Flowers & Gifts,2
40281,Chandler,Airport Shuttles,2
40282,Avondale, Guns & Ammo,2
40283,Cleveland,Electronics Repair,2
40284,Matthews,Heating & Air Conditioning/HVAC,2
40285,Scarborough,Oral Surgeons,2
40286,Peoria, DUI Law,2
40287,Cuyahoga Falls, Food Delivery Services,2
40288,Peoria, Wine Tasting Room,2
40289,Kent, Fashion,2
40290,Concord,Bridal,2
40291,Lakewood, Candy Stores,2
40292,White Oak, Chinese,2
40293,Surprise,Office Equipment,2
40294,Glendale,Pediatricians,2
40295,Thornhill, Hot Dogs,2
40296,Pittsburgh, Screen Printing,2
40297,Boulder City, Internet Service Providers,2
40298,Tempe, Vascular Medicine,2
40299,Monroeville,Cosmetics & Beauty Supply,2
40300,Phoenix,Pool & Billiards,2
40301,Oakville, Beer,2
40302,Montréal, Landscaping,2
40303,Mentor, Pasta Shops,2
40304,Etobicoke, Used Car Dealers,2
40305,Bradford,Nightlife,2
40306,Chandler,Computers,2
40307,Mississauga, Laser Eye Surgery/Lasik,2
40308,Fort Mill, Martial Arts,2
40309,Maple,Fast Food,2
40310,Sun City, Public Services & Government,2
40311,Mesa,Karate,2
40312,Whitby, Fireplace Services,2
40313,West Homestead, Event Planning & Services,2
40314,Carnegie, Professional Services,2
40315,Thornhill, Greek,2
40316,Lorain,Chinese,2
40317,Cornelius,Financial Services,2
40318,Mississauga,Colombian,2
40319,Stow,Landscaping,2
40320,Montréal, Pet Boarding,2
40321,Pittsburgh, Cafeteria,2
40322,Fitchburg, Fruits & Veggies,2
40323,Dorval, Hair Removal,2
40324,Beachwood, Car Rental,2
40325,Cuyahoga Falls, Banks & Credit Unions,2
40326,Huntersville, Battery Stores,2
40327,Mont-Royal, Canadian (New),2
40328,Boulder City,Hotels,2
40329,Sainte-Thérèse, Lebanese,2
40330,Matthews, Tex-Mex,2
40331,Middleton, Body Shops,2
40332,Pleasant Hills,Chicken Wings,2
40333,Pittsburgh,Interior Design,2
40334,Willoughby Hills, Fruits & Veggies,2
40335,Tempe, RV Repair,2
40336,Garfield Heights, Contractors,2
40337,Litchfield Park,Drugstores,2
40338,Cave Creek, Oil Change Stations,2
40339,Scottsdale, Skate Parks,2
40340,Twinsburg, Desserts,2
40341,Sun City, Sewing & Alterations,2
40342,Oakville, Cinema,2
40343,Peoria,Pool Halls,2
40344,Dorval,Sushi Bars,2
40345,Monona, Used,2
40346,Davidson, Cocktail Bars,2
40347,York, Body Shops,2
40348,Sun Prairie, Doctors,2
40349,Cleveland, Outdoor Power Equipment Services,2
40350,Cuyahoga Falls, Donuts,2
40351,Saint-Laurent,Car Dealers,2
40352,Fountain Hills, Tea Rooms,2
40353,Mississauga,Irish Pub,2
40354,Las Vegas,Used Bookstore,2
40355,Newmarket, Pet Services,2
40356,Pickering, Custom Cakes,2
40357,Gilbert, Halal,2
40358,Champaign, Mortgage Brokers,2
40359,Carefree,Plumbing,2
40360,Champaign,Periodontists,2
40361,Harrisburg, Breweries,2
40362,Shaker Heights, Lounges,2
40363,Buckeye, Barbers,2
40364,Charlotte, Car Buyers,2
40365,Fairview Park,Optometrists,2
40366,Cave Creek, Vegan,2
40367,Avondale, Notaries,2
40368,Fitchburg, Musical Instrument Services,2
40369,Mississauga, Insurance,2
40370,Gilbert, Decks & Railing,2
40371,Surprise,Hair Stylists,2
40372,Parma, General Dentistry,2
40373,Columbia Station,Pets,2
40374,Champaign,Photographers,2
40375,Madison, Appraisal Services,2
40376,Chandler, Boat Repair,2
40377,Scottsdale, Cuban,2
40378,Gastonia, Truck Rental,2
40379,Bellevue,Coffee & Tea,2
40380,Boulder City, Chicken Shop,2
40381,Scottsdale,Knitting Supplies,2
40382,Gastonia, Sports Wear,2
40383,Heidelberg, Home Services,2
40384,Markham,Escape Games,2
40385,Henderson, Debt Relief Services,2
40386,Litchfield Park, Kids Activities,2
40387,Savoy,Nightlife,2
40388,Brecksville, Arts & Crafts,2
40389,Boulder City,Mexican,2
40390,Huntersville,Bowling,2
40391,North Royalton, Barbers,2
40392,Willoughby Hills, Tires,2
40393,Etobicoke,Dentists,2
40394,Peoria,Security Systems,2
40395,Mint Hill, Wine & Spirits,2
40396,Avon Lake, Seafood,2
40397,South Euclid,Oil Change Stations,2
40398,Lyndhurst, Men's Clothing,2
40399,Denver, Mobile Phones,2
40400,Gastonia, Tanning,2
40401,Sun Prairie,Contractors,2
40402,Paradise Valley, Dermatologists,2
40403,Parma Heights, Ice Cream & Frozen Yogurt,2
40404,Sun City West, Real Estate,2
40405,Huntersville,American (New),2
40406,Homestead,Shoe Stores,2
40407,Avon, Mobile Phones,2
40408,Pineville,Waffles,2
40409,Belmont,Breweries,2
40410,Las Vegas, Fire Departments,2
40411,Gibsonia,Nightlife,2
40412,Montreal, Gyms,2
40413,Streetsboro, Convenience Stores,2
40414,Fairlawn, Books,2
40415,Pittsburgh,Threading Services,2
40416,Mesa,Clock Repair,2
40417,Concord,Baby Gear & Furniture,2
40418,Tempe,Sleep Specialists,2
40419,Wexford, Women's Clothing,2
40420,Lower Burrell, Chicken Wings,2
40421,Newmarket,Ice Cream & Frozen Yogurt,2
40422,Las Vegas,Medical Cannabis Referrals,2
40423,Mesa,Photo Booth Rentals,2
40424,Halton Hills, Specialty Food,2
40425,Toronto, Czech,2
40426,Shaker Heights,Hair Salons,2
40427,McKees Rocks, Cosmetic Dentists,2
40428,Macedonia, Dentists,2
40429,Charlotte,Art Schools,2
40430,Scottsdale,Piercing,2
40431,Sun City,Water Purification Services,2
40432,Phoenix, Aerial Fitness,2
40433,Tolleson, Italian,2
40434,Carefree, Performing Arts,2
40435,Chagrin Falls, Bridal,2
40436,Oakmont,Nail Salons,2
40437,Coraopolis, Contractors,2
40438,Avon, Pets,2
40439,Murrysville, Chiropractors,2
40440,Sun City, Gold Buyers,2
40441,University Heights, Nail Salons,2
40442,Tempe, Circuit Training Gyms,2
40443,Chandler,Cheesesteaks,2
40444,Surprise,Drugstores,2
40445,Pittsburgh,Pediatricians,2
40446,Charlotte, Moroccan,2
40447,Charlotte,Bespoke Clothing,2
40448,Youngtown, Soul Food,2
40449,Newmarket, Arts & Crafts,2
40450,Goodyear, Cinema,2
40451,Gibsonia, Dentists,2
40452,Queen Creek, Salad,2
40453,Cuyahoga Falls, Comfort Food,2
40454,Fitchburg,Beer,2
40455,Medina,Department Stores,2
40456,North Royalton, Arts & Entertainment,2
40457,Pittsburgh, Bar Crawl,2
40458,Phoenix,Recording & Rehearsal Studios,2
40459,Bethel Park,Italian,2
40460,Avondale,Professional Services,2
40461,Finleyville, Arts & Entertainment,2
40462,Monroe, Salad,2
40463,Gastonia, Endodontists,2
40464,Gilbert, Auto Upholstery,2
40465,Waxhaw, Delis,2
40466,Waunakee, Public Services & Government,2
40467,Cleveland, Outlet Stores,2
40468,Harrisburg, Oil Change Stations,2
40469,Concord, Recreation Centers,2
40470,Irwin,Sandwiches,2
40471,Glenshaw, Burgers,2
40472,Mesa, Halal,2
40473,Chandler, Fertility,2
40474,Pointe-Claire,Italian,2
40475,Tempe,Videographers,2
40476,Laveen,Chinese,2
40477,North Las Vegas, Generator Installation/Repair,2
40478,Sewickley, Wine & Spirits,2
40479,Cave Creek, Auto Detailing,2
40480,Richmond Hill,Ramen,2
40481,Chagrin Falls, Pet Groomers,2
40482,Cornelius,Hair Stylists,2
40483,Midland,Venues & Event Spaces,2
40484,Edgewood, Arts & Entertainment,2
40485,Mississauga, Antiques,2
40486,Verona, Thai,2
40487,Monroeville,General Dentistry,2
40488,Middleburg Heights, Massage,2
40489,Madison, Junk Removal & Hauling,2
40490,Bradford West Gwillimbury, Coffee & Tea,2
40491,Ajax,Waxing,2
40492,Elizabeth, Flowers & Gifts,2
40493,Huntersville,Bars,2
40494,Akron, Electronics Repair,2
40495,North Ridgeville,Veterinarians,2
40496,York,Grocery,2
40497,Oakville,Shopping Centers,2
40498,Rocky River,Flowers & Gifts,2
40499,Kannapolis, Pet Sitting,2
40500,Tempe,Breweries,2
40501,Carefree, Skin Care,2
40502,West Mifflin, Building Supplies,2
40503,Tallmadge,Health & Medical,2
40504,Gilbert, Farms,2
40505,Pierrefonds, Coffee & Tea,2
40506,Vaughan,Financial Services,2
40507,Toronto,Floral Designers,2
40508,Mentor, Office Equipment,2
40509,Twinsburg, Pet Stores,2
40510,Middleton, Counseling & Mental Health,2
40511,Chandler,Florists,2
40512,Gilbert,Retirement Homes,2
40513,Concord, Bubble Tea,2
40514,Oakdale, Formal Wear,2
40515,Youngtown,Health & Medical,2
40516,Millvale, Beer Gardens,2
40517,Phoenix, College Counseling,2
40518,Concord,Building Supplies,2
40519,Berea, Skin Care,2
40520,Mount Horeb, Beauty & Spas,2
40521,Madison, Commercial Truck Dealers,2
40522,North Olmsted, Reiki,2
40523,Surprise,Truck Rental,2
40524,Maple Heights, Ice Cream & Frozen Yogurt,2
40525,Scottsdale,Discount Store,2
40526,Amherst,American (New),2
40527,East Gwillimbury, Fast Food,2
40528,Mississauga, Libraries,2
40529,Boulder City, Wine & Spirits,2
40530,Fort Mill, Mobile Phones,2
40531,Brunswick, Vintage & Consignment,2
40532,Willowick, Thrift Stores,2
40533,Willowick, Sandwiches,2
40534,Montreal, Barbeque,2
40535,Mayfield Heights, Tex-Mex,2
40536,Phoenix,Climbing,2
40537,Tallmadge,Mexican,2
40538,Glendale, Psychics,2
40539,West View, Local Services,2
40540,Avondale,New Mexican Cuisine,2
40541,Scarborough, Wholesale Stores,2
40542,Tempe,Orthotics,2
40543,Macedonia, Convenience Stores,2
40544,Cleveland, New Mexican Cuisine,2
40545,Sun Lakes,Home Services,2
40546,Lakewood,Wedding Planning,2
40547,Toronto,Colombian,2
40548,King City,Italian,2
40549,Woodbridge, Mags,2
40550,Richmond Hill,Yoga,2
40551,Solon,Skin Care,2
40552,Fountain Hills,Grocery,2
40553,Las Vegas, Sports Betting,2
40554,Windsor, Fast Food,2
40555,Goodyear,Auto Glass Services,2
40556,Gilbert,Assisted Living Facilities,2
40557,Mahomet, Hair Removal,2
40558,Anjou, Shopping Centers,2
40559,Strongsville, Bookstores,2
40560,Fountain Hills,Auto Parts & Supplies,2
40561,Avondale, Chicken Shop,2
40562,Richmond Hill, Social Clubs,2
40563,Painesville, Plumbing,2
40564,Mentor, Outdoor Gear,2
40565,Etobicoke, Barbers,2
40566,Savoy,Vietnamese,2
40567,Irwin, Nurseries & Gardening,2
40568,Mooresville, Doctors,2
40569,Toronto, Kids Activities,2
40570,Lorain,Beauty & Spas,2
40571,Middleton, Snow Removal,2
40572,Allison Park, Art Classes,2
40573,Pickering, Children's Clothing,2
40574,Apache Junction, Nurseries & Gardening,2
40575,Saint Leonard, Burgers,2
40576,Medina, Italian,2
40577,Saint-Jean-sur-Richelieu, Pubs,2
40578,Laval, Used Car Dealers,2
40579,Charlotte, Animal Shelters,2
40580,Tempe,Chicken Shop,2
40581,Murrysville,Nail Salons,2
40582,Maple, Asian Fusion,2
40583,Murrysville, Gas Stations,2
40584,Thornhill, Hotels,2
40585,Mississauga, Roadside Assistance,2
40586,Fountain Hills, Gas Stations,2
40587,Hudson, Bed & Breakfast,2
40588,Chandler, Tapas Bars,2
40589,Oakwood Village, Food,2
40590,Aurora, Gas Stations,2
40591,Goodyear, Audiologist,2
40592,Indian Trail,Religious Organizations,2
40593,Sun City, Mediterranean,2
40594,Thornhill,Computers,2
40595,McMurray,Active Life,2
40596,Concord,Furniture Stores,2
40597,Goodyear,Pharmacy,2
40598,Henderson, Costumes,2
40599,Saint-Laurent, Delis,2
40600,Avondale,Shades & Blinds,2
40601,Newmarket, Gyms,2
40602,Chagrin Falls,Pest Control,2
40603,Laval, Falafel,2
40604,Avon, Tea Rooms,2
40605,Montréal, Immigration Law,2
40606,Chandler, Float Spa,2
40607,Saint-Lazare, Food,2
40608,Lakewood, Medical Spas,2
40609,Phoenix,Soccer,2
40610,Pleasant Hills, Salad,2
40611,Brecksville, Home Cleaning,2
40612,McMurray, Donuts,2
40613,De Forest, Active Life,2
40614,Burton, Venues & Event Spaces,2
40615,Phoenix,Travel Agents,2
40616,West Mifflin, Wine & Spirits,2
40617,Peoria, Candy Stores,2
40618,York, Caterers,2
40619,North Ridgeville, Garage Door Services,2
40620,North Olmsted, Cosmetology Schools,2
40621,Monroeville, Vitamins & Supplements,2
40622,Grafton, American (Traditional),2
40623,Lakewood, Chiropractors,2
40624,Champaign, Costumes,2
40625,Cheswick, Nightlife,2
40626,Tolleson, Printing Services,2
40627,Middleton,Men's Clothing,2
40628,Kent, Sports Bars,2
40629,Brampton, Gastropubs,2
40630,Sun City, Cosmetics & Beauty Supply,2
40631,Euclid,Hair Salons,2
40632,Aurora,American (New),2
40633,Wesley Chapel, Flowers & Gifts,2
40634,Beachwood,Car Rental,2
40635,Lakewood, Children's Clothing,2
40636,Irwin, Salad,2
40637,Indian Trail,Furniture Stores,2
40638,Waxhaw,Nightlife,2
40639,Toronto,Jazz & Blues,2
40640,Cleveland, Wills,2
40641,Mississauga, Food Stands,2
40642,Twinsburg, Foundation Repair,2
40643,Akron, Marketing,2
40644,Beachwood, Chiropractors,2
40645,Mesa, Anesthesiologists,2
40646,Scottsdale, IP & Internet Law,2
40647,Charlotte, Herbal Shops,2
40648,Fairlawn,Pizza,2
40649,Pineville, Public Services & Government,2
40650,Cornelius, Books,2
40651,Terrebonne, Nightlife,2
40652,Peoria, Limos,2
40653,Fountain Hills, Home Theatre Installation,2
40654,Carnegie, Beer,2
40655,Millvale, Breakfast & Brunch,2
40656,Brunswick, Transportation,2
40657,North Randall,Food,2
40658,North Las Vegas,Hawaiian,2
40659,Mint Hill,Pizza,2
40660,Mount Horeb, Books,2
40661,Lachine, Contractors,2
40662,Fountain Hills, Veterinarians,2
40663,Markham, Event Photography,2
40664,Huntersville,General Dentistry,2
40665,North Las Vegas, Periodontists,2
40666,Stouffville,Canadian (New),2
40667,Brecksville, Mortgage Brokers,2
40668,Sun City,Laser Eye Surgery/Lasik,2
40669,Mint Hill, Mexican,2
40670,Monroe,Event Planning & Services,2
40671,Henderson, Mountain Biking,2
40672,Rocky River, Meat Shops,2
40673,Lyndhurst, Department Stores,2
40674,Thornhill, Hotels & Travel,2
40675,Montréal, Australian,2
40676,Carefree, Medical Centers,2
40677,Fountain Hills,Pet Services,2
40678,Saint-Hyacinthe, Barbeque,2
40679,Cave Creek,Pool & Hot Tub Service,2
40680,Boulder City, Women's Clothing,2
40681,Mesa, Flight Instruction,2
40682,Rocky River, Vegetarian,2
40683,Tempe,Wholesale Stores,2
40684,Bolton,Local Services,2
40685,Waunakee, Fashion,2
40686,McCandless Township, Sandwiches,2
40687,Saint-Sauveur, Arts & Entertainment,2
40688,Scottsdale, Aquariums,2
40689,Matthews,Community Service/Non-Profit,2
40690,Pittsburgh, Bartenders,2
40691,Willoughby, Mattresses,2
40692,Verona, Roofing,2
40693,Berea, Professional Services,2
40694,Paradise Valley,Home Decor,2
40695,Scarborough, Kebab,2
40696,Cornelius, Furniture Reupholstery,2
40697,Charlotte, Community Centers,2
40698,Vaughan, General Dentistry,2
40699,West Mifflin, Beer,2
40700,Shaker Heights,Salad,2
40701,Harrisburg, Salad,2
40702,Elyria, Carpet Cleaning,2
40703,Savoy,Arts & Entertainment,2
40704,Urbana, Laundry Services,2
40705,Beachwood,Eyewear & Opticians,2
40706,Ahwatukee,Restaurants,2
40707,Ogden, American (New),2
40708,Goodyear,Dry Cleaning & Laundry,2
40709,Harrisburg, Japanese,2
40710,Pleasant Hills, Pizza,2
40711,Phoenix, Emergency Medicine,2
40712,Cleveland, Lingerie,2
40713,Laveen, Gas Stations,2
40714,Mesa,Life Coach,2
40715,Fitchburg,Hotels,2
40716,Oakwood, Home & Garden,2
40717,Scottsdale, Bird Shops,2
40718,Laval,Thai,2
40719,Pineville, Laundry Services,2
40720,Las Vegas,University Housing,2
40721,Medina, Irish,2
40722,Oakdale,Beauty & Spas,2
40723,Chagrin Falls,Pharmacy,2
40724,Stoughton,Event Planning & Services,2
40725,Matthews, Dermatologists,2
40726,Laveen,Veterinarians,2
40727,Newmarket, Veterinarians,2
40728,Henderson, Libraries,2
40729,Akron,Pet Groomers,2
40730,Belmont, Japanese,2
40731,Macedonia, Oil Change Stations,2
40732,Newmarket, Eyebrow Services,2
40733,Carefree, Acupuncture,2
40734,Brampton, Falafel,2
40735,Middleton, Acne Treatment,2
40736,Savoy, Bridal,2
40737,Outremont, Breakfast & Brunch,2
40738,Chandler,Sports Wear,2
40739,Bethel Park,Dentists,2
40740,Champaign,Mobile Phone Repair,2
40741,Warrensville Heights, Mexican,2
40742,Peoria, Watches,2
40743,Ajax, Health Markets,2
40744,Fort Mill, Gift Shops,2
40745,Stouffville, Chinese,2
40746,Madison,Comfort Food,2
40747,Mckees Rocks, Sports Bars,2
40748,Madison, Pet Hospice,2
40749,Cleveland Heights, Sports Bars,2
40750,Willoughby, Flowers & Gifts,2
40751,Dallas, Southern,2
40752,Pittsburgh, Pet Photography,2
40753,Munhall, Public Services & Government,2
40754,Champaign,Cosmetic Dentists,2
40755,Woodbridge, Playgrounds,2
40756,Bay Village,Pizza,2
40757,Gastonia, Kids Activities,2
40758,Canonsburg, Golf,2
40759,Dollard-des-Ormeaux, Middle Eastern,2
40760,Oka, Active Life,2
40761,Tempe, Comedy Clubs,2
40762,North Olmsted,American (Traditional),2
40763,Homestead, Southern,2
40764,Kannapolis, Hair Salons,2
40765,Vaudreuil-Dorion, Beauty & Spas,2
40766,Mesa, Pakistani,2
40767,Concord, Orthopedists,2
40768,Glendale,Summer Camps,2
40769,Middleton, Parks,2
40770,Lyndhurst, Arts & Crafts,2
40771,Kent, Massage Therapy,2
40772,Henderson, Watches,2
40773,Kirtland, Pubs,2
40774,Saint-Jérôme, Nightlife,2
40775,Scarborough, Shades & Blinds,2
40776,Oakville, Dry Cleaning & Laundry,2
40777,Strongsville,Japanese,2
40778,Cleveland Heights, Jazz & Blues,2
40779,Markham, Home Health Care,2
40780,Pittsburgh,Tea Rooms,2
40781,Phoenix,Prosthodontists,2
40782,Brecksville, Automotive,2
40783,Avon Lake, Jewelry,2
40784,Coraopolis, Towing,2
40785,Kirtland, Bars,2
40786,Westmount, Home Decor,2
40787,Verona, Pet Groomers,2
40788,Tolleson, Shoe Stores,2
40789,McKeesport, Donuts,2
40790,Scottsdale, College Counseling,2
40791,North Las Vegas,Auto Glass Services,2
40792,Litchfield Park, Delis,2
40793,Fairlawn,Department Stores,2
40794,Peninsula, Professional Services,2
40795,Montréal,Toy Stores,2
40796,Stoughton, Wine & Spirits,2
40797,Surprise, Surgeons,2
40798,Bellevue, Barbers,2
40799,Pittsburgh,Orthopedists,2
40800,Chandler, Acne Treatment,2
40801,Bedford, Delis,2
40802,Bay Village,Beauty & Spas,2
40803,Mesa, Water Delivery,2
40804,Sun City, Notaries,2
40805,Saint-Jean-sur-Richelieu, Salad,2
40806,Cleveland, Dim Sum,2
40807,Lakewood,Barbers,2
40808,El Mirage, Party & Event Planning,2
40809,Surprise, Art Galleries,2
40810,North Royalton, Child Care & Day Care,2
40811,Madison,Pain Management,2
40812,Monona,Event Planning & Services,2
40813,Wexford,American (Traditional),2
40814,Monroeville, Men's Hair Salons,2
40815,Amherst,Beauty & Spas,2
40816,Avalon,Automotive,2
40817,Twinsburg, Wraps,2
40818,Cleveland, Massage Schools,2
40819,Cleveland, Buses,2
40820,Vaughan, Family Practice,2
40821,Sainte-Julie, Breakfast & Brunch,2
40822,Lakewood,Car Rental,2
40823,Cornelius,Auto Glass Services,2
40824,Madison,Print Media,2
40825,Tega Cay, General Dentistry,2
40826,Whitby,Chinese,2
40827,North Las Vegas,Propane,2
40828,Queen Creek,Home & Garden,2
40829,Avondale, Dry Cleaning & Laundry,2
40830,Chagrin Falls, Cosmetics & Beauty Supply,2
40831,Castle Shannon,Pets,2
40832,Concord, Skating Rinks,2
40833,Harrisburg, Public Services & Government,2
40834,Mount Lebanon,Food,2
40835,Shaker Heights, Dentists,2
40836,Mississauga,Sports Clubs,2
40837,Canonsburg, Skin Care,2
40838,Las Vegas,Framing,2
40839,Mint Hill, Hair Salons,2
40840,Akron, Fitness/Exercise Equipment,2
40841,Etobicoke, Bike Repair/Maintenance,2
40842,Phoenix,Bookkeepers,2
40843,Whitby, Accessories,2
40844,MESA, Automotive,2
40845,Pointe-Claire,French,2
40846,Bellevue, Caterers,2
40847,Richmond Hill, Car Rental,2
40848,Vaughan,Vape Shops,2
40849,LAS VEGAS, Local Services,2
40850,North Royalton, Fitness & Instruction,2
40851,Cave Creek, Shoe Stores,2
40852,Phoenix, Contract Law,2
40853,Charlotte, Laotian,2
40854,Pittsburgh, Personal Assistants,2
40855,Rocky River, Pet Stores,2
40856,Monroeville, Diners,2
40857,Murrysville, Food Delivery Services,2
40858,Cave Creek,Mexican,2
40859,Cuyahoga Falls,Handyman,2
40860,Harrisburg, Professional Services,2
40861,Belmont, Banks & Credit Unions,2
40862,Sheffield Lake, Fast Food,2
40863,Fort Mill, Antiques,2
40864,Sun Prairie,Arts & Entertainment,2
40865,Champaign,Movers,2
40866,New Kensington,Nail Salons,2
40867,Tega Cay,Sandwiches,2
40868,Medina,Hair Removal,2
40869,Scarborough,Taiwanese,2
40870,Henderson, Halotherapy,2
40871,Pickering,Hotels & Travel,2
40872,Monroe,Pet Services,2
40873,Castle Shannon, Beauty & Spas,2
40874,East York, Furniture Stores,2
40875,North Olmsted,Appliances,2
40876,Avon, Breweries,2
40877,Henderson, Mobile Dent Repair,2
40878,Cleveland Heights, Cajun/Creole,2
40879,Northfield, Home & Garden,2
40880,Chardon, Desserts,2
40881,Schomberg, Cafes,2
40882,Whitchurch-Stouffville, Breakfast & Brunch,2
40883,Orange, Hotels & Travel,2
40884,Hudson, Cafes,2
40885,Twinsburg, Plumbing,2
40886,Rocky River, Men's Clothing,2
40887,Etobicoke, Amusement Parks,2
40888,Boucherville, Cafes,2
40889,Sun City West,Oil Change Stations,2
40890,Markham,Sports Clubs,2
40891,Saint-Sauveur, Barbeque,2
40892,Stoughton,Arts & Entertainment,2
40893,East York, Veterinarians,2
40894,Surprise,Cinema,2
40895,North Las Vegas,Threading Services,2
40896,Madison, Fishing,2
40897,Oakdale, Outdoor Gear,2
40898,Burton,Car Dealers,2
